Processo: chrome || 2023-05-21,19:05:34, || 776.88 MB
Processo: mysqld || 2023-05-21,19:05:34, || 742.33 MB
Processo: chrome || 2023-05-21,19:05:34, || 573.31 MB
Processo: chrome || 2023-05-21,19:05:34, || 567.56 MB
Processo: chrome || 2023-05-21,19:05:34, || 524.90 MB
Processo: code || 2023-05-21,19:05:34, || 423.68 MB
Processo: chrome || 2023-05-21,19:05:34, || 330.59 MB
Processo: code || 2023-05-21,19:05:34, || 320.98 MB
Processo: chrome || 2023-05-21,19:05:34, || 270.67 MB
Processo: gnome-shell || 2023-05-21,19:05:34, || 260.39 MB
Processo: snap-store || 2023-05-21,19:05:34, || 246.50 MB
Processo: chrome || 2023-05-21,19:05:34, || 241.98 MB
Processo: code || 2023-05-21,19:05:34, || 220.94 MB
Processo: snapd || 2023-05-21,19:05:34, || 215.62 MB
Processo: chrome || 2023-05-21,19:05:34, || 214.17 MB
Processo: code || 2023-05-21,19:05:34, || 210.66 MB
Processo: code || 2023-05-21,19:05:34, || 184.78 MB
Processo: chrome || 2023-05-21,19:05:34, || 166.11 MB
Processo: code || 2023-05-21,19:05:34, || 146.13 MB
